name;style;gradazione;short_desc;brewery;shop
San Dalmazzo;saison;5.2%;Dal colore dorato carico è generosamente luppolata, radiosa, prodiga di bevibilità, offre intense e variegate note vegetali, che maturano in fiore, frutto fresco, agrume, miele. Dal tappeto erbaceo freschissimo, emergono speziature tenui. Piacevolmente amara nel finale.;Menaresta - Carate Brianza (MB);https://www.birrificiomenaresta.com/vendita/
Berliner Weisse;berliner weiss;3.2%;Birra acida di frumento dalla tradizione secolare, la specialità berlinese ha negli anni rischiato di scomparire, per poi tornare in voga grazie al recente movimento della birra artigianale. Color giallo paglierino, acidità moderata, corpo elegante e leggero, la versione da noi proposta presenta un caratteristico sapore di cereali e spezie.;Canediguerra - Alessandria;https://shop.canediguerra.com/collections/beer/products/berliner-weisse
Bianca;blanche;5.3%;Birra chiara, pallida e opalescente, prodotta con un’abbondante percentuale di frumento. Ha una fresca acidità sottolineata da una delicata speziatura, che ne bilanciano la morbidezza tattile.;Brùton - San Cassiano di Moriano (LU);https://www.bruton.it/shop/tipologia/blanche/bianca-33/
White side;blanche;5.2%;Birra dal colore giallo torbido e una schiuma bianca morbida e persistente.  Assai gradevole al naso per la lunga scia speziata di coriandolo e buccia d’arancia amara che ben si amalgamano ai luppoli Perle e Styrian.;Birra Amiata - Castel del Piano (GR);https://www.birramiata.com/prodotto/white-side-bott/
WEISSBIER;weiss;4.5%;Chiamala Weiss, Weizen o birra di frumento, aggiungici un lievito tipico Bavarese e del luppolo Nobile ed il risultato è LA birra estiva per eccellenza! Gli aromi fruttati di banana e i suoi fenoli speziati ti conquisteranno sin dal primo sorso…Ein Prosit!;Impavida - Arco (TN);https://www.birraimpavida.com/shop-birre/
Bianca piperita;blanche;4.6%;Birra d’ispirazione belga, in stile blanche, da cui il nome. Nel rispetto dello stile si impiegano frumento non maltato, avena, buccia d’arancia e coriandolo. E’ caratterizzata dall’utilizzo della menta piperita e del miele di produzione locale.;Opperbacco - Notaresco (TE);https://www.cantinadellabirra.it/shop/birra-opperbacco-bianca-piperita.html
Cubulteria;italian wheat;6.5%;Birra chiara doppio malto ad alta fermentazione, prodotta con una miscela di malto di frumento e d’orzo, con particolarità aromatiche dovute all’aggiunta di cannella e bucce d’arancia. È una birra complessa ma nello stesso è elegante e intrigante. Rifermentata e affinata in bottiglia, forma sedimento naturale.;Karma - Alife (CE);https://birrakarma.com/classic/cubulteria/
St'orta;blanche;5.6%;Blanche. Alta fermentazione. L’aggiunta dei fiori di canapa e bucce di agrumi conferisce un sapore piacevolmente acidulo e aromatico, che sconfina nell’erbaceo.;spirito agricolo - Fabriano (AN);https://birraecucina.it/le-nostre-birre/
Edvige;weiss;4.6%;Golden Ale. Alta fermentazione. Birra fresca e agrumata, dai profumi intensi e delicati con uno spiccato sentore vinoso dato dall’utilizzo del Nelson Sauvin. In bocca ha un gusto piacevole e dissetante con una leggera nota amara.;spirito agricolo - Fabriano (AN);https://birraecucina.it/le-nostre-birre/
Blanche;blanche;5.0%;La Blanche Picara è una birra artigianale Siciliana fresca e beverina, dall’aroma speziato e dal sapore agrumato. Prodotta con malto d’orzo e grano Capeiti. I suoi aromi agrumati provengono dal coriandolo e dalla buccia d’arancia;Birrficio Picara - Salemi (TP);https://www.birrificiopicara.it/
Lunare;blanche;5.5%;Blanche legata al territorio prodotta con grano antico coltivato a Saracena, varietà “Rossetta” e scorze di Piretto di Civita.;De Alchemia - Saracena (CS);https://www.dealchemia.it/birre-de-alchemia/
La Speltina;blanche;4.8%;Blanche realizzata con il farro Spelta coltivato a Sovizzo (VI). La buccia di limone, i fiori di sambuco e il pepe utilizzati rendono questa birra fresca, piacevole e beverina.;birra ofelia - Sovizzo (VI);https://www.birraofelia.it/product-page/la-speltina-blanche
Waldweg;hefe-weizen;5.1%;Birra di frumento leggera e rinfrescante, grazie ad una buona percentuale di frumento, che conferisce la tipica sfumata acidità ed una piacevole sensazione di pulizia al palato, contraddistinta da un corpo snello e dalla grande facilità di beva. Il ceppo di lievito per le Weizen , imprescindibile per questo stile, conferisce le classiche note di banana, pera e chiodi di garofano che si completano con l’utilizzo  molto basso di luppolo, per una birra per nulla amara, adatta soprattutto alle calde giornate estive.;Foglie d'erba - Forni di sopra (UD);https://birrificiofogliederba.it/prodotto/waldweg/
Gosexy;gose;4.3%;Gose è un vecchio stile di birra acida nato nella città tedesca Goslar.;Batzen BRÄU - Bolzano;https://batzenshop.com/it/go-sexy
Weisse;weiss;5.0%;"Questa birra di frumento è piacevolmente rinfrescante, fruttata e dalla schiuma fine; ha un gusto intenso di banana e chiodi di garofano con un finale leggermente dolce.";Batzen BRÄU - Bolzano;https://batzenshop.com/it/weisse
Goslar 1826;gose;4.5%;Interpretazione Made in Italy di uno stile tradizionale tedesco, nasce dalla collaborazione con il birrificio La Buttiga di Piacenza. Birra di frumento con utilizzo di batteri lattici selezionati e sale, a naso le note acide e agrumate accompagnano una bevuta dalla bollicina vivace, rinfrescante, piacevolmente acida e sapida.;piccolo birrificio clandestino - Livorno;https://www.piccolobirrificioclandestino.it/prodotto/goslar-1826/
Litha;blanche;5.2%;Aspetto velato e colore giallo paglierino. Brassata con l’utilizzo di malto e frumento marchigiani. Le caratteristiche note speziate date dal coriandolo e dal cardamomo la rendono molto fresca e dissetante.;mastio - Colmurano (MC);https://www.birrificioilmastio.com/birre/litha/
Dunkelweizen;Dunkel-weiss;4.9%;Una versione più intensa della classica birra di grano tedesca. Con il tradizionale lievito Weizen che sprigiona l'aroma di banana e l'aggiunta di malti scuri, questa birra regala un caratteristico colore ambrato e una complessità gustativa unica.;birrificio della granda - Lagnasco (CN);https://www.birrificiodellagranda.it/collections/birre-artigianali/products/dunkelweizen-limited-edition?variant=47641294733635
Baby Blue;saison;6.2%;Una Saison ispirata al classico stile belga ma in chiave contemporanea. Dal colore ambrato con riflessi rosati Baby Blue viene realizzata con aggiunta di una miscela innovativa a base di ibisco, scorza d'arancia e ginepro. Al naso i sentori sono intensi con in evidenza note di lievito, luppolo e spezie;Collerosso - Borgorose(RI);https://www.cantinadellabirra.it/shop/collerosso-baby-blue.html
Jellyfish ;saison;6.0%;Saison classica con impiego di segale e frumento, al naso esprime una varietà di aromi che spaziano da sentori pepati a fiori bianchi, con sfumature tipiche di frutta gialla, note erbacee, e una manciata di agrumi (limone, cedro).;Jungle Juice - Roma;https://www.junglejuicebrewing.com/shopbirre
Salty la faina;gose;4.7%;Una birra ispirata alle produzioni tradizionali della zona di Lipsia condita con il lievito della nostra Ute. Un prodotto dall'equilibrio estremo e da una delicata sfumatura salina.;Jungle Juice - Roma;https://www.junglejuicebrewing.com/shopbirre
Fiore a tre petali;saison;6.4%;"Saison in stile belga realizzata con farro, segnale e frumento. Dal colore dorato è intensamente aromatica e profumata; al naso percepiamo avvolgenti note di camomilla, fieno, frutta a pasta gialla e fiori di campo. Rustica e fresca al palato, anche qui ritroviamo i sentori dell'aroma, bevuta esile e scorrevole. Finale secco e pulito.";Birrificio Sabino - Poggio Mirteto (RI);https://www.birrificiosabino.com/shop/fiore-a-tre-petali-bottiglia
Iggy;saison;5.3%;"Rustica, complessa ed elegante Iggy fa parte della serie Bootleg di Birra dell'Eremo ed è una Farmhouse Ale a fermentazione spontanea, invecchiata in botte e realizzata con luppolo Surannè ed aggiunta di segale e frumento. Versata nel bicchiere si svela di un invitante colore dorato velato; al naso l'aroma è pungente con in evidenza note agrumate di limone, sentori fruttati e sfumature di cantina. Al palato si percepisce una vivace acidità, con lievi sentori lignei dati dal passaggio in botte e decise note funky. Acida ed elegante nel finale.";Birra dell'eremo - Assisi (PG);https://www.birradelleremo.it/birre/iggy-farmhouse/
Edina A.;saision;5.5%;Una Saison classica ma non troppo, secca al palato ma pepata e agrumata insieme. Nove luppoli in ricetta la rendono fresca e moderna così come fu Edina Altara, poliedrica artista sarda a cui si ispira. Segui la strada del cuore, prendi la scelta azzardata che vince la sfida e rivela la tua vera natura.;Rubiu - Sant'Antioco (SU);https://rubiubirra.it/prodotto/edina-a/